­¶½X,¤º®e,
88,"by Futurecraft without imposing, or seeking to impose, any restriction or limitation upon the purchaser or recipient thereof with  reference to the use to which such valve or valve component could be put or the disposition which the purchaser or recipient  could make of the same.  In this connection, with certain exceptions the purchasers and/or recipients of said valves, valve  components and/or drawings do not stand in any confidential or fiduciary relation toward Futurecraft with reference to any matter  or thing disclosed by said valves, valve components or drawings. ""7. Each and all of the matters and things alleged to be confidential to Futurecraft with regard to each of the valves and valve  components referred to in Paragraphs V, VI, VII and IX of the first cause of action of the complaint were contained in, and were  easily ascertainable from, the valves and valve components so sold and/or delivered as hereinabove mentioned in Paragraph 6. ""8. Each and all of the valves and valve components which were sold by Futurecraft, as hereinabove referred to in Paragraph 6,  were sold with Futurecraft's knowledge that the same were purchased by the customer for resale by said customer. ""9. The form of proprietary notice placed by Futurecraft upon certain of its drawings of the valves and valve components referred  to in Paragraphs V, VI, VII and IX of the first cause of action of the complaint was not intended by Futurecraft to impose, nor did  it impose, any restriction or limitation upon any customer or prospective customer of Futurecraft, or any ultimate customer or  prospective customer of any such valve or valve component, with regard to the use to which such valve or valve component  could be put or the disposition which the customer or prospective customer could make of the same. ""10. As early as September 1953, Futurecraft publicly sold, without any restriction whatsoever, valves of the type referred to in  Paragraph V of the first cause of action of the complaint. ""11. As early as April 1954, Futurecraft publicly sold, without any restriction whatsoever, valve components of the type referred  to in Paragraph VI of the first cause of action of the complaint. ""12. As early as December 1957, and thereafter Futurecraft publicly sold, without any restrictions whatsoever, valve components  of the type referred to in Paragraph VII of the first cause of action of the complaint. ""13. As early as August 1956, Futurecraft publicly sold, without any restriction whatsoever, valves of the type referred to in  Paragraph IX of the first cause of action of the complaint. ""14. After terminating his employment with Futurecraft on or about March 17, 1956, Koutnik neither carried any trust  responsibility nor owed any obligation to Futurecraft with reference to any of the valves or valve components mentioned in  Paragraphs V, VI, VII and IX of the first cause of action of the complaint or any of the matters or things allegedly confidential to  Futurecraft with respect to said valves or valve components, nor did any contractual relation exist between Koutnik and  Futurecraft at any time after such termination of employment. ""15. No controversy now exists or ever did exist, between Futurecraft, on the one hand, and Koutnik or Clary, or either of them,  on the other, concerning the rights, obligations or liabilities of any party to this action under or by virtue of any portion or claim of,  or any amendment to, the application for United States Letters Patent, No. 508,444, or the assignment to Futurecraft of the  invention described in said application, which said application and assignment are referred to in Paragraph V of the first cause of  action of the complaint; and nothing in said application or assignment prevents Koutnik or Clary from establishing the source of  the disclosure in said patent application or the lack of secrecy with respect to said disclosure. ""16. If any matter or thing contained in the application for United States Letters Patent, No. 508,444, mentioned in Paragraph V  of the first cause of action of the complaint, or in the application for United States Letters Patent, No. 632,828, mentioned in  Paragraph IX of said cause of action, or any amendment to either of said applications, was ever confidential to, or a trade secret  of, Futurecraft, Futurecraft elected by sale of valves embodying the disclosure of said applications and the filing of said  applications and by taking advantage of the provisions of  35 U.S.C. Â§ 102 , to rely upon the patent laws of the United States and  is precluded from asserting that the subject matter of said applications, or either of them, constitute a trade secret. ""From the foregoing findings of fact the court draws the following: ""Conclusions of Law ""The court concludes: ""1. In all respects as set forth in the foregoing findings of fact. ""2. Said findings having been made upon issues which are determinative of the cause, any further finding or findings upon  issues other than those embraced in the foregoing findings would be immaterial and are not made for that reason.",
89,"""3. Defendants, and each of them, are entitled to judgment that plaintiff take nothing and that its first amended complaint, as  amended, be dismissed, and that defendants recover their costs herein incurred."" The judgment provides in part as follows: ""It Is Ordered, Adjudged and Decreed that plaintiff take nothing and that its first amended complaint, as amended, be dismissed,  and that defendants recover their costs herein incurred in the sum of $    ."" The patent application on certain features of the paragraph V valve subsequently resulted in the issuance of a patent on  February 7, 1961.",
92,"Mr. von Kalinowski, who is counsel for plaintiff, did not cite his article to the court.",
96,Shasta Douglas Oil Co. v. Work Reporter 212 Cal. App. 2d 618 *; 28 Cal. Rptr. 190 **; 1963 Cal. App. LEXIS 2889 *** Core Terms LexisNexisÂ® Headnotes,
97,Headnotes/Summary Monopolies and Combinations?”Cartwright Act?”Agreements Prohibited.  Conspiracy?”Civil Elements.  Monopolies and Combinations?”Cartwright Act: Sherman Act.  Id.?”Cartwright Act.,
98,Damages?”Mitigation of Loss?”Duty of Injured Party.  Opinion Retired Presiding Justice of the District Court of Appeal sitting pro tempore under assignment by the Chairman of the Judicial  Council.,
100,"A hearing was granted by the Supreme Court on March 29, 1961.  The final opinion of that court is reported in  56 Cal.2d 130  [14 Cal.Rptr. 1, 363 P.2d 1] .",
102,De Martini v. Department of Alcoholic Beverage Control Reporter 215 Cal. App. 2d 787 *; 30 Cal. Rptr. 668 **; 1963 Cal. App. LEXIS 2558 *** Core Terms LexisNexisÂ® Headnotes,
107,Headnotes/Summary Appeal?”Decisions Appealable?”Prerogative Writs.  Intoxicating Liquors?”Suspension of License?”Review.  Id.?”Suspension of License?”Review.  Id.?”Suspension of License?”Review.,
108,Id.?”Suspension of License?”Review.  Id.?”Suspension of License?”Review.  Id.?”Alcoholic Beverage Control Act?”Nature and Purpose.  Id.?”Alcoholic Beverage Control Act?”Sales?”Fair Trade Contracts.  Id.?”Alcoholic Beverage Control Act?”Sales?”Fair Trade Contracts.  Id.?”Suspension of License?”Evidence.,
